source_column,import_id,raw_numeric_code,response_label,semantic_score,observed_n,classification,raw_code_direction
IPAddress,ipAddress,,59.115.196.13,,1,metadata,not_applicable
IPAddress,ipAddress,,157.10.58.229,,1,metadata,not_applicable
IPAddress,ipAddress,,212.70.118.38,,1,metadata,not_applicable
IPAddress,ipAddress,,119.234.91.100,,2,metadata,not_applicable
IPAddress,ipAddress,,212.32.121.126,,1,metadata,not_applicable
IPAddress,ipAddress,,208.53.17.0,,1,metadata,not_applicable
IPAddress,ipAddress,,198.3.25.134,,1,metadata,not_applicable
IPAddress,ipAddress,,69.3.135.119,,1,metadata,not_applicable
IPAddress,ipAddress,,161.77.127.253,,1,metadata,not_applicable
IPAddress,ipAddress,,168.158.150.0,,1,metadata,not_applicable
IPAddress,ipAddress,,206.0.75.9,,1,metadata,not_applicable
IPAddress,ipAddress,,35.151.235.41,,1,metadata,not_applicable
IPAddress,ipAddress,,173.34.139.248,,1,metadata,not_applicable
IPAddress,ipAddress,,174.195.129.127,,2,metadata,not_applicable
IPAddress,ipAddress,,95.135.72.30,,1,metadata,not_applicable
IPAddress,ipAddress,,172.59.71.246,,1,metadata,not_applicable
IPAddress,ipAddress,,170.124.66.120,,1,metadata,not_applicable
IPAddress,ipAddress,,204.252.86.154,,1,metadata,not_applicable
IPAddress,ipAddress,,38.248.217.230,,1,metadata,not_applicable
IPAddress,ipAddress,,72.85.23.86,,1,metadata,not_applicable
IPAddress,ipAddress,,154.161.120.58,,1,metadata,not_applicable
IPAddress,ipAddress,,75.167.54.183,,1,metadata,not_applicable
IPAddress,ipAddress,,175.110.74.74,,1,metadata,not_applicable
IPAddress,ipAddress,,174.89.103.29,,1,metadata,not_applicable
Progress,progress,,100,,73,metadata,not_applicable
Progress,progress,,36,,4,metadata,not_applicable
Progress,progress,,0,,1,metadata,not_applicable
Progress,progress,,58,,2,metadata,not_applicable
Progress,progress,,84,,1,metadata,not_applicable
Duration (in seconds),duration,,149,,1,metadata,not_applicable
Duration (in seconds),duration,,37,,1,metadata,not_applicable
Duration (in seconds),duration,,38,,1,metadata,not_applicable
Duration (in seconds),duration,,60,,1,metadata,not_applicable
Duration (in seconds),duration,,11,,2,metadata,not_applicable
Duration (in seconds),duration,,1778,,1,metadata,not_applicable
Duration (in seconds),duration,,4605,,1,metadata,not_applicable
Duration (in seconds),duration,,2368,,1,metadata,not_applicable
Duration (in seconds),duration,,813,,1,metadata,not_applicable
Duration (in seconds),duration,,8261,,1,metadata,not_applicable
Duration (in seconds),duration,,75,,1,metadata,not_applicable
Duration (in seconds),duration,,1249,,1,metadata,not_applicable
Duration (in seconds),duration,,1444,,1,metadata,not_applicable
Duration (in seconds),duration,,66631,,1,metadata,not_applicable
Duration (in seconds),duration,,428,,1,metadata,not_applicable
Duration (in seconds),duration,,558,,2,metadata,not_applicable
Duration (in seconds),duration,,837,,1,metadata,not_applicable
Duration (in seconds),duration,,6769,,1,metadata,not_applicable
Duration (in seconds),duration,,11063,,1,metadata,not_applicable
Duration (in seconds),duration,,485,,1,metadata,not_applicable
Duration (in seconds),duration,,2830,,1,metadata,not_applicable
Duration (in seconds),duration,,92405,,1,metadata,not_applicable
Duration (in seconds),duration,,342353,,1,metadata,not_applicable
Duration (in seconds),duration,,435,,1,metadata,not_applicable
Duration (in seconds),duration,,267,,1,metadata,not_applicable
Duration (in seconds),duration,,513,,1,metadata,not_applicable
Duration (in seconds),duration,,612,,1,metadata,not_applicable
Duration (in seconds),duration,,785,,1,metadata,not_applicable
Duration (in seconds),duration,,719,,1,metadata,not_applicable
Duration (in seconds),duration,,2776,,1,metadata,not_applicable
Duration (in seconds),duration,,556,,1,metadata,not_applicable
Duration (in seconds),duration,,477,,1,metadata,not_applicable
Duration (in seconds),duration,,2428,,1,metadata,not_applicable
Duration (in seconds),duration,,136,,1,metadata,not_applicable
Duration (in seconds),duration,,197,,2,metadata,not_applicable
Duration (in seconds),duration,,329,,1,metadata,not_applicable
Duration (in seconds),duration,,629,,1,metadata,not_applicable
